Elapsed time AscRate GpsHeightMSL      P   Temp   RH   Dewp Dir Speed
           s     m/s            m    hPa     ?C    %     ?C   ?   m/s
        2816     4.9      17586.8  81.32 -62.38  2.0 -88.69 258  4.54
        2817     4.8      17591.5  81.26 -62.43  2.0 -88.72 258  4.60
        2818     4.9      17596.3  81.20 -62.49  2.0 -88.76 258  4.65
        2819     5.2      17601.5  81.13 -62.55  2.0 -88.79 259  4.71
        2820     5.4      17607.0  81.06 -62.60  2.0 -88.83 259  4.76
        2821     5.4      17612.4  80.99 -62.64  2.0 -88.85 260  4.80
        2822     5.4      17617.8  80.92 -62.66  2.0 -88.86 260  4.84
        2823     5.4      17623.2  80.85 -62.66  2.0 -88.86 261  4.88
        2824     5.3      17628.5  80.78 -62.66  2.0 -88.86 262  4.91
        2825     5.3      17633.8  80.71 -62.67  2.0 -88.86 262  4.94
        2826     5.2      17639.0  80.64 -62.67  2.0 -88.87 263  4.96
        2827     5.1      17644.1  80.57 -62.68  2.0 -88.88 264  4.98
        2828     5.0      17649.1  80.51 -62.70  2.0 -88.89 265  5.00
        2829     4.9      17654.0  80.44 -62.72  2.0 -88.91 265  5.01
        2830     4.7      17658.7  80.38 -62.75  2.0 -88.93 266  5.01
        2831     4.6      17663.3  80.32 -62.78  2.0 -88.96 267  5.01
        2832     4.6      17667.9  80.26 -62.81  2.0 -88.98 268  5.02
        2833     4.7      17672.6  80.20 -62.82  2.0 -88.99 268  5.01
        2834     4.8      17677.4  80.14 -62.81  2.0 -88.99 269  5.01
        2835     4.8      17682.3  80.07 -62.80  2.0 -88.98 270  5.01
        2836     4.8      17687.1  80.01 -62.78  2.0 -88.97 271  5.01
        2837     4.8      17691.9  79.95 -62.77  2.0 -88.97 272  5.01
        2838     4.9      17696.9  79.88 -62.77  2.0 -88.97 273  5.01
        2839     5.0      17701.8  79.82 -62.77  2.0 -88.97 274  5.01
        2840     5.0      17706.8  79.75 -62.77  2.0 -88.96 275  5.02
        2841     5.2      17711.9  79.69 -62.77  2.0 -88.97 277  5.03
        2842     5.5      17717.5  79.62 -62.79  2.0 -88.98 278  5.05
        2843     5.8      17723.4  79.54 -62.82  2.0 -88.99 279  5.07
        2844     5.7      17729.2  79.46 -62.85  2.0 -89.02 281  5.10
        2845     5.2      17734.4  79.40 -62.90  2.0 -89.05 282  5.14
        2846     4.6      17738.9  79.34 -62.94  2.0 -89.08 283  5.19
        2847     4.4      17743.1  79.29 -62.97  2.0 -89.09 285  5.25
        2848     4.6      17747.6  79.23 -62.99  2.0 -89.10 286  5.32
        2849     5.0      17752.6  79.16 -62.99  2.0 -89.10 288  5.39
        2850     5.3      17758.0  79.09 -62.99  2.0 -89.09 289  5.48
        2851     5.5      17763.5  79.02 -62.98  2.0 -89.07 290  5.58
        2852     5.6      17769.1  78.95 -62.97  2.0 -89.05 292  5.68
        2853     5.7      17774.8  78.88 -62.97  2.0 -89.04 293  5.80
        2854     5.7      17780.5  78.80 -62.98  2.0 -89.04 294  5.92
        2855     5.6      17786.1  78.73 -63.00  2.0 -89.04 295  6.05
        2856     5.5      17791.6  78.66 -63.02  2.0 -89.04 296  6.18
        2857     5.6      17797.2  78.59 -63.06  2.0 -89.05 297  6.32
        2858     5.7      17802.9  78.52 -63.09  2.0 -89.06 298  6.46
        2859     5.9      17808.8  78.45 -63.13  2.0 -89.08 299  6.61
        2860     6.0      17814.9  78.37 -63.17  2.1 -89.09 300  6.76
        2861     5.8      17820.9  78.29 -63.21  2.1 -89.10 300  6.91
        2862     5.3      17826.2  78.22 -63.25  2.1 -89.12 301  7.06
        2863     4.8      17830.9  78.16 -63.30  2.1 -89.14 302  7.22
        2864     4.6      17835.4  78.11 -63.34  2.1 -89.15 302  7.37
        2865     4.9      17840.1  78.05 -63.39  2.1 -89.17 302  7.52
        2866     5.3      17845.5  77.98 -63.43  2.1 -89.19 303  7.67
        2867     5.7      17851.3  77.90 -63.47  2.1 -89.20 303  7.82
        2868     5.8      17857.1  77.83 -63.50  2.1 -89.20 303  7.96
        2869     5.7      17862.7  77.76 -63.52  2.1 -89.20 304  8.11
        2870     5.7      17868.3  77.69 -63.54  2.1 -89.20 304  8.24
        2871     6.1      17874.4  77.61 -63.56  2.1 -89.20 304  8.38
        2872     6.4      17880.9  77.53 -63.58  2.1 -89.20 305  8.51
        2873     6.6      17887.6  77.44 -63.59  2.1 -89.19 305  8.64
        2874     6.3      17894.1  77.36 -63.60  2.1 -89.19 305  8.77
        2875     5.9      17899.9  77.29 -63.60  2.1 -89.17 305  8.89
        2876     5.4      17905.3  77.22 -63.60  2.1 -89.16 306  9.00
        2877     5.0      17910.3  77.16 -63.61  2.2 -89.16 306  9.12
        2878     4.7      17915.0  77.10 -63.62  2.2 -89.16 306  9.23
        2879     4.5      17919.5  77.04 -63.64  2.2 -89.16 307  9.34
        2880     4.5      17923.9  76.99 -63.67  2.2 -89.18 307  9.44
        2881     4.5      17928.4  76.93 -63.70  2.2 -89.20 307  9.54
        2882     4.7      17933.1  76.87 -63.74  2.2 -89.22 308  9.63
        2883     4.8      17938.0  76.81 -63.77  2.2 -89.24 308  9.73
        2884     4.8      17942.8  76.75 -63.80  2.2 -89.27 308  9.82
        2885     4.7      17947.4  76.69 -63.84  2.2 -89.29 309  9.90
        2886     4.7      17952.1  76.63 -63.88  2.2 -89.32 309  9.98
        2887     4.9      17957.0  76.57 -63.91  2.2 -89.35 310 10.06
        2888     5.1      17962.1  76.51 -63.94  2.2 -89.38 310 10.14
        2889     5.2      17967.3  76.44 -63.96  2.2 -89.40 310 10.22
        2890     5.1      17972.4  76.38 -63.96  2.2 -89.41 311 10.29
        2891     4.8      17977.2  76.32 -63.96  2.2 -89.42 311 10.36
        2892     4.5      17981.7  76.26 -63.96  2.1 -89.43 311 10.42
        2893     4.2      17985.8  76.21 -63.95  2.1 -89.44 312 10.48
        2894     4.2      17989.8  76.16 -63.96  2.1 -89.46 312 10.54
        2895     4.4      17994.2  76.11 -63.96  2.1 -89.48 313 10.60
        2896     4.7      17999.0  76.05 -63.96  2.1 -89.50 313 10.66
        2897     4.8      18003.9  75.99 -63.96  2.1 -89.52 313 10.71
        2898     4.7      18008.6  75.93 -63.94  2.1 -89.54 314 10.76
        2899     4.5      18013.0  75.87 -63.92  2.1 -89.54 314 10.81
        2900     4.4      18017.4  75.82 -63.89  2.1 -89.54 314 10.85
        2901     4.5      18021.9  75.77 -63.85  2.1 -89.54 315 10.89
        2902     4.6      18026.4  75.71 -63.82  2.1 -89.54 315 10.93
        2903     4.7      18031.1  75.65 -63.79  2.1 -89.55 315 10.96
        2904     4.7      18035.8  75.59 -63.78  2.1 -89.56 316 10.99
        2905     4.7      18040.5  75.54 -63.76  2.0 -89.57 316 11.02
        2906     4.7      18045.2  75.48 -63.76  2.0 -89.59 316 11.04
        2907     4.7      18049.9  75.42 -63.75  2.0 -89.61 316 11.06
        2908     4.8      18054.7  75.36 -63.75  2.0 -89.63 317 11.07
        2909     4.8      18059.5  75.30 -63.74  2.0 -89.64 317 11.08
        2910     4.9      18064.4  75.24 -63.72  2.0 -89.65 317 11.08
        2911     4.9      18069.3  75.18 -63.70  2.0 -89.65 317 11.07
        2912     4.9      18074.2  75.12 -63.66  2.0 -89.64 317 11.06
        2913     4.8      18079.0  75.06 -63.63  2.0 -89.62 318 11.05
        2914     4.7      18083.7  75.00 -63.60  2.0 -89.61 318 11.02
        2915     4.5      18088.2  74.95 -63.57  2.0 -89.60 318 10.99
        2916     4.3      18092.5  74.90 -63.55  2.0 -89.60 318 10.96
        2917     4.2      18096.7  74.85 -63.53  2.0 -89.59 318 10.91
        2918     4.3      18100.9  74.80 -63.52  2.0 -89.59 318 10.86
        2919     4.3      18105.3  74.74 -63.51  2.0 -89.59 318 10.81
        2920     4.3      18109.6  74.69 -63.50  2.0 -89.59 318 10.75
        2921     4.1      18113.7  74.64 -63.50  2.0 -89.60 318 10.68
        2922     4.0      18117.6  74.59 -63.51  2.0 -89.61 318 10.61
        2923     4.0      18121.6  74.54 -63.52  2.0 -89.61 318 10.53
        2924     4.2      18125.8  74.49 -63.53  2.0 -89.62 317 10.45
        2925     4.4      18130.2  74.44 -63.53  2.0 -89.63 317 10.37
        2926     4.4      18134.6  74.38 -63.54  2.0 -89.64 317 10.29
        2927     4.4      18139.0  74.33 -63.56  2.0 -89.65 317 10.21
        2928     4.4      18143.3  74.28 -63.58  2.0 -89.67 317 10.12
        2929     4.6      18147.9  74.23 -63.60  2.0 -89.68 317 10.04
        2930     4.7      18152.7  74.17 -63.63  2.0 -89.70 317  9.96
        2931     4.5      18157.3  74.11 -63.66  2.0 -89.73 316  9.88
        2932     4.1      18161.3  74.06 -63.68  2.0 -89.75 316  9.81
        2933     3.8      18165.0  74.02 -63.70  2.0 -89.76 316  9.74
        2934     3.8      18168.7  73.97 -63.72  2.0 -89.78 316  9.68
        2935     4.2      18172.9  73.92 -63.73  2.0 -89.79 316  9.63
        2936     4.7      18177.8  73.86 -63.73  2.0 -89.79 315  9.58
        2937     5.0      18182.9  73.80 -63.72  2.0 -89.79 315  9.53
        2938     4.9      18187.8  73.74 -63.72  2.0 -89.79 315  9.50
        2939     4.9      18192.6  73.69 -63.72  2.0 -89.80 315  9.47
        2940     4.9      18197.6  73.63 -63.72  1.9 -89.81 314  9.45
        2941     5.0      18202.6  73.56 -63.73  1.9 -89.82 314  9.44
        2942     4.9      18207.5  73.51 -63.74  1.9 -89.84 314  9.44
        2943     4.8      18212.3  73.45 -63.75  1.9 -89.86 314  9.45
        2944     4.7      18217.1  73.39 -63.76  1.9 -89.88 313  9.47
        2945     4.5      18221.6  73.34 -63.76  1.9 -89.89 313  9.49
        2946     4.3      18225.9  73.29 -63.76  1.9 -89.91 313  9.53
        2947     4.2      18230.0  73.24 -63.76  1.9 -89.92 313  9.57
        2948     4.2      18234.1  73.19 -63.75  1.9 -89.92 312  9.62
        2949     4.2      18238.3  73.14 -63.73  1.9 -89.92 312  9.68
        2950     4.2      18242.6  73.09 -63.71  1.9 -89.92 312  9.75
        2951     4.2      18246.7  73.04 -63.67  1.9 -89.92 312  9.82
        2952     4.1      18250.8  72.99 -63.63  1.9 -89.90 311  9.90
        2953     4.2      18254.9  72.94 -63.58  1.9 -89.88 311  9.98
        2954     4.3      18259.2  72.89 -63.52  1.9 -89.85 311 10.07
        2955     4.5      18263.7  72.84 -63.46  1.9 -89.81 310 10.16
        2956     4.6      18268.4  72.78 -63.40  1.9 -89.78 310 10.26
        2957     4.6      18272.9  72.72 -63.35  1.9 -89.76 310 10.36
        2958     4.5      18277.4  72.67 -63.32  1.9 -89.75 310 10.47
        2959     4.5      18281.9  72.62 -63.31  1.9 -89.75 309 10.57
        2960     4.6      18286.6  72.56 -63.31  1.9 -89.75 309 10.68
        2961     4.6      18291.2  72.51 -63.31  1.9 -89.76 309 10.79
        2962     4.6      18295.8  72.46 -63.32  1.9 -89.78 308 10.90
        2963     4.6      18300.4  72.40 -63.33  1.9 -89.79 308 11.01
        2964     4.5      18304.9  72.35 -63.34  1.9 -89.80 308 11.12
        2965     4.4      18309.2  72.30 -63.35  1.9 -89.81 308 11.23
        2966     4.3      18313.5  72.25 -63.36  1.9 -89.81 307 11.33
        2967     4.3      18317.7  72.20 -63.37  1.9 -89.82 307 11.44
        2968     4.2      18322.0  72.15 -63.37  1.9 -89.82 307 11.54
        2969     4.2      18326.2  72.10 -63.37  1.9 -89.81 307 11.64
        2970     4.2      18330.3  72.05 -63.36  1.9 -89.80 307 11.73
        2971     4.1      18334.5  72.00 -63.36  1.9 -89.80 306 11.82
        2972     4.0      18338.5  71.95 -63.37  1.9 -89.80 306 11.90
        2973     4.1      18342.5  71.91 -63.40  1.9 -89.81 306 11.97
        2974     4.3      18346.8  71.86 -63.43  1.9 -89.83 306 12.04
        2975     4.4      18351.2  71.80 -63.47  1.9 -89.84 306 12.09
        2976     4.4      18355.6  71.75 -63.50  1.9 -89.86 306 12.14
        2977     4.3      18359.9  71.70 -63.53  1.9 -89.88 306 12.18
        2978     4.4      18364.2  71.65 -63.55  1.9 -89.89 305 12.21
        2979     4.5      18368.7  71.60 -63.57  1.9 -89.89 305 12.22
        2980     4.7      18373.5  71.55 -63.59  1.9 -89.90 305 12.22
        2981     4.9      18378.4  71.49 -63.61  1.9 -89.91 305 12.21
        2982     4.8      18383.2  71.43 -63.63  1.9 -89.92 305 12.19
        2983     4.7      18387.8  71.38 -63.63  1.9 -89.92 305 12.16
        2984     4.6      18392.5  71.32 -63.62  1.9 -89.91 305 12.11
        2985     4.6      18397.1  71.27 -63.60  1.9 -89.91 305 12.06
        2986     4.6      18401.7  71.22 -63.59  1.9 -89.90 305 11.99
        2987     4.5      18406.1  71.16 -63.59  1.9 -89.91 305 11.91
        2988     4.6      18410.7  71.11 -63.60  1.9 -89.93 305 11.83
        2989     4.8      18415.5  71.06 -63.62  1.9 -89.95 305 11.73
        2990     5.2      18420.7  71.00 -63.64  1.9 -89.98 305 11.63
        2991     5.5      18426.2  70.93 -63.67  1.9 -90.01 305 11.52
        2992     5.8      18432.0  70.86 -63.68  1.9 -90.04 305 11.41
        2993     6.0      18438.0  70.80 -63.69  1.9 -90.06 305 11.29
        2994     6.3      18444.2  70.72 -63.67  1.8 -90.07 305 11.17
        2995     6.6      18450.8  70.65 -63.65  1.8 -90.07 305 11.05
        2996     6.8      18457.7  70.57 -63.62  1.8 -90.07 306 10.93
        2997     6.9      18464.6  70.49 -63.59  1.8 -90.07 306 10.81
        2998     6.9      18471.6  70.41 -63.56  1.8 -90.07 306 10.69
        2999     6.9      18478.5  70.33 -63.52  1.8 -90.05 306 10.57
        3000     6.6      18485.2  70.25 -63.46  1.8 -90.03 306 10.46
        3001     6.1      18491.3  70.18 -63.39  1.8 -89.99 307 10.35
        3002     5.8      18497.0  70.12 -63.32  1.8 -89.96 307 10.24
        3003     5.8      18502.6  70.06 -63.27  1.8 -89.93 307 10.13
        3004     6.2      18508.7  69.99 -63.23  1.8 -89.91 308 10.03
        3005     6.6      18515.5  69.91 -63.21  1.8 -89.90 308  9.93
        3006     6.7      18522.4  69.83 -63.20  1.8 -89.90 309  9.83
        3007     6.3      18528.8  69.75 -63.20  1.8 -89.91 309  9.74
        3008     5.9      18534.5  69.69 -63.21  1.8 -89.92 309  9.65
        3009     5.6      18540.1  69.63 -63.24  1.8 -89.94 310  9.56
        3010     5.7      18545.7  69.57 -63.28  1.8 -89.96 310  9.48
        3011     5.7      18551.5  69.50 -63.31  1.8 -89.98 311  9.40
        3012     5.4      18557.1  69.44 -63.33  1.8 -89.98 311  9.32
        3013     5.1      18562.1  69.38 -63.34  1.8 -89.98 312  9.24
        3014     4.8      18566.8  69.33 -63.34  1.8 -89.96 312  9.17
        3015     4.7      18571.4  69.28 -63.35  1.8 -89.95 313  9.09
        3016     4.8      18576.1  69.22 -63.38  1.8 -89.94 313  9.02
        3017     4.9      18581.1  69.17 -63.42  1.8 -89.95 314  8.94
        3018     5.1      18586.2  69.11 -63.48  1.8 -89.97 314  8.87
        3019     5.0      18591.3  69.05 -63.55  1.8 -89.99 315  8.80
        3020     4.9      18596.2  68.99 -63.61  1.9 -90.00 316  8.73
        3021     4.8      18600.9  68.94 -63.66  1.9 -90.01 316  8.66
        3022     4.8      18605.6  68.89 -63.70  1.9 -90.00 317  8.59
        3023     5.0      18610.6  68.83 -63.73  1.9 -89.99 317  8.52
        3024     5.2      18615.8  68.78 -63.75  1.9 -89.97 318  8.45
        3025     5.4      18621.3  68.71 -63.78  1.9 -89.95 319  8.39
        3026     5.3      18626.6  68.65 -63.82  1.9 -89.94 319  8.34
        3027     4.9      18631.6  68.60 -63.86  1.9 -89.93 320  8.28
        3028     4.5      18636.1  68.55 -63.91  2.0 -89.93 320  8.23
        3029     4.4      18640.3  68.50 -63.97  2.0 -89.94 321  8.19
        3030     4.4      18644.7  68.45 -64.02  2.0 -89.94 322  8.15
        3031     4.7      18649.4  68.40 -64.07  2.0 -89.94 322  8.12
        3032     4.9      18654.3  68.34 -64.11  2.0 -89.93 323  8.09
        3033     4.9      18659.3  68.28 -64.14  2.0 -89.91 323  8.07
        3034     4.8      18664.0  68.24 -64.16  2.0 -89.89 324  8.05
        3035     4.9      18668.9  68.18 -64.19  2.0 -89.88 324  8.04
        3036     5.1      18674.2  68.12 -64.22  2.1 -89.87 324  8.03
        3037     5.2      18679.4  68.06 -64.26  2.1 -89.87 325  8.03
        3038     5.2      18684.6  68.01 -64.31  2.1 -89.87 325  8.03
        3039     5.2      18689.8  67.95 -64.36  2.1 -89.88 325  8.04
        3040     5.1      18694.9  67.89 -64.41  2.1 -89.90 326  8.05
        3041     5.0      18699.9  67.84 -64.46  2.1 -89.91 326  8.06
        3042     4.9      18704.7  67.78 -64.49  2.1 -89.92 326  8.07
        3043     4.9      18709.5  67.73 -64.52  2.1 -89.92 326  8.09
        3044     5.0      18714.5  67.68 -64.54  2.1 -89.92 327  8.11
        3045     5.0      18719.5  67.62 -64.56  2.1 -89.93 327  8.12
        3046     5.0      18724.4  67.56 -64.59  2.1 -89.94 327  8.14
        3047     4.9      18729.3  67.51 -64.62  2.1 -89.96 327  8.15
        3048     4.9      18734.2  67.46 -64.66  2.1 -89.99 327  8.17
        3049     4.9      18739.1  67.40 -64.71  2.1 -90.03 327  8.18
        3050     4.9      18744.0  67.35 -64.76  2.1 -90.07 327  8.19
        3051     4.8      18748.8  67.29 -64.81  2.1 -90.12 328  8.19
        3052     4.7      18753.5  67.24 -64.84  2.1 -90.16 328  8.20
        3053     4.7      18758.1  67.19 -64.87  2.1 -90.20 328  8.19
        3054     4.6      18762.8  67.14 -64.89  2.1 -90.23 328  8.19
        3055     4.6      18767.4  67.09 -64.90  2.1 -90.26 328  8.18
        3056     4.5      18771.8  67.04 -64.91  2.1 -90.30 329  8.17
        3057     4.5      18776.3  66.99 -64.91  2.1 -90.32 329  8.16
        3058     4.8      18781.0  66.94 -64.89  2.1 -90.34 329  8.14
        3059     4.9      18786.1  66.88 -64.85  2.1 -90.35 330  8.12
        3060     4.8      18791.0  66.83 -64.79  2.0 -90.35 330  8.10
        3061     4.7      18795.6  66.78 -64.72  2.0 -90.33 330  8.07
        3062     4.6      18800.1  66.73 -64.65  2.0 -90.32 331  8.04
        3063     4.7      18804.8  66.68 -64.58  2.0 -90.31 331  8.01
        3064     4.8      18809.5  66.63 -64.53  2.0 -90.32 332  7.99
        3065     4.9      18814.4  66.57 -64.50  2.0 -90.35 332  7.96
        3066     5.0      18819.3  66.52 -64.48  1.9 -90.38 333  7.93
        3067     5.0      18824.4  66.47 -64.46  1.9 -90.41 333  7.90
        3068     5.1      18829.5  66.41 -64.43  1.9 -90.43 334  7.88
        3069     5.0      18834.6  66.35 -64.38  1.9 -90.44 334  7.85
        3070     4.7      18839.3  66.30 -64.30  1.9 -90.42 335  7.83
        3071     4.5      18843.7  66.26 -64.21  1.9 -90.40 335  7.80
        3072     4.4      18848.0  66.21 -64.11  1.9 -90.36 335  7.79
        3073     4.6      18852.6  66.16 -64.02  1.9 -90.33 336  7.77
        3074     4.8      18857.5  66.11 -63.94  1.8 -90.30 336  7.76
        3075     4.9      18862.4  66.05 -63.87  1.8 -90.28 337  7.76
        3076     4.7      18867.1  66.00 -63.83  1.8 -90.28 337  7.76
        3077     4.5      18871.6  65.96 -63.80  1.8 -90.28 337  7.76
        3078     4.5      18876.0  65.91 -63.78  1.8 -90.29 338  7.77
        3079     4.6      18880.5  65.86 -63.78  1.8 -90.30 338  7.78
        3080     4.7      18885.3  65.81 -63.79  1.8 -90.33 338  7.80
        3081     5.0      18890.2  65.76 -63.82  1.8 -90.36 338  7.82
        3082     5.2      18895.5  65.70 -63.85  1.8 -90.39 338  7.85
        3083     5.3      18900.9  65.64 -63.88  1.8 -90.42 338  7.87
        3084     5.2      18906.1  65.58 -63.91  1.8 -90.45 339  7.91
        3085     4.9      18911.0  65.53 -63.93  1.8 -90.46 339  7.94
        3086     4.8      18915.7  65.48 -63.95  1.8 -90.48 338  7.98
        3087     4.9      18920.7  65.43 -63.96  1.8 -90.49 338  8.02
        3088     5.0      18925.7  65.37 -63.97  1.8 -90.50 338  8.06
        3089     4.8      18930.6  65.32 -63.99  1.8 -90.51 338  8.10
        3090     4.7      18935.2  65.27 -64.01  1.8 -90.52 338  8.14
        3091     4.7      18939.9  65.22 -64.04  1.8 -90.55 338  8.19
        3092     4.7      18944.6  65.17 -64.07  1.8 -90.58 337  8.23
        3093     4.9      18949.5  65.12 -64.11  1.8 -90.61 337  8.27
        3094     5.1      18954.7  65.07 -64.15  1.8 -90.65 336  8.32
        3095     5.2      18959.9  65.01 -64.19  1.8 -90.68 336  8.36
        3096     5.2      18965.0  64.96 -64.23  1.8 -90.72 335  8.41
        3097     5.3      18970.2  64.90 -64.26  1.8 -90.75 335  8.45
        3098     5.5      18975.8  64.85 -64.28  1.8 -90.78 334  8.49
        3099     5.6      18981.5  64.78 -64.27  1.8 -90.78 333  8.54
        3100     5.5      18987.1  64.72 -64.23  1.8 -90.76 333  8.58
        3101     5.1      18992.2  64.67 -64.16  1.8 -90.72 332  8.63
        3102     4.7      18996.8  64.62 -64.07  1.8 -90.67 331  8.67
        3103     4.7      19001.3  64.57 -63.97  1.7 -90.62 330  8.72
        3104     4.8      19006.1  64.52 -63.89  1.7 -90.58 329  8.76
        3105     5.1      19011.3  64.47 -63.83  1.7 -90.55 328  8.81
        3106     5.3      19016.6  64.41 -63.79  1.7 -90.54 327  8.86
        3107     5.3      19021.9  64.36 -63.78  1.7 -90.55 326  8.92
        3108     5.2      19027.1  64.30 -63.79  1.7 -90.57 325  8.98
        3109     4.9      19032.1  64.25 -63.80  1.7 -90.60 324  9.04
        3110     4.7      19036.7  64.20 -63.81  1.7 -90.62 323  9.11
        3111     4.5      19041.1  64.15 -63.80  1.7 -90.63 322  9.18
        3112     4.5      19045.5  64.11 -63.79  1.7 -90.63 321  9.26
        3113     4.6      19050.1  64.06 -63.77  1.7 -90.63 320  9.35
        3114     4.8      19055.0  64.01 -63.73  1.7 -90.61 319  9.44
        3115     4.9      19060.0  63.96 -63.70  1.7 -90.60 318  9.54
        3116     4.9      19064.9  63.91 -63.66  1.7 -90.57 318  9.64
        3117     4.8      19069.7  63.86 -63.62  1.7 -90.56 317  9.75
        3118     4.6      19074.3  63.81 -63.59  1.7 -90.54 316  9.86
        3119     4.5      19078.7  63.76 -63.58  1.7 -90.54 315  9.98
        3120     4.5      19083.2  63.72 -63.58  1.7 -90.54 315 10.11
        3121     4.6      19087.8  63.67 -63.59  1.7 -90.55 314 10.24
        3122     4.8      19092.7  63.62 -63.61  1.7 -90.57 313 10.37
        3123     5.0      19097.7  63.57 -63.63  1.7 -90.60 313 10.51
        3124     5.1      19102.8  63.51 -63.66  1.7 -90.63 312 10.65
        3125     5.0      19107.8  63.46 -63.70  1.7 -90.66 312 10.79
        3126     4.8      19112.6  63.41 -63.73  1.7 -90.69 312 10.94
        3127     4.7      19117.2  63.36 -63.76  1.7 -90.72 311 11.09
        3128     4.6      19121.8  63.32 -63.79  1.7 -90.75 311 11.23
        3129     4.7      19126.5  63.27 -63.81  1.7 -90.78 311 11.38
        3130     4.6      19131.2  63.22 -63.82  1.7 -90.80 310 11.52
        3131     4.4      19135.6  63.17 -63.82  1.7 -90.81 310 11.66
        3132     4.4      19139.8  63.13 -63.82  1.6 -90.82 310 11.79
        3133     4.5      19144.3  63.08 -63.80  1.6 -90.83 310 11.93
        3134     4.7      19149.0  63.04 -63.78  1.6 -90.83 310 12.05
        3135     4.9      19153.9  62.98 -63.75  1.6 -90.83 310 12.17
        3136     5.1      19159.0  62.93 -63.72  1.6 -90.82 310 12.28
        3137     5.1      19164.1  62.88 -63.68  1.6 -90.82 310 12.38
        3138     5.1      19169.1  62.83 -63.65  1.6 -90.82 310 12.47
        3139     5.1      19174.3  62.78 -63.61  1.6 -90.82 310 12.56
        3140     5.0      19179.4  62.72 -63.58  1.6 -90.82 310 12.63
        3141     4.9      19184.3  62.67 -63.56  1.6 -90.83 310 12.70
        3142     4.8      19189.0  62.63 -63.54  1.6 -90.85 310 12.76
        3143     4.8      19193.8  62.58 -63.52  1.6 -90.86 310 12.80
        3144     4.7      19198.5  62.53 -63.50  1.6 -90.88 310 12.84
        3145     4.7      19203.2  62.48 -63.47  1.6 -90.89 310 12.87
        3146     4.7      19207.8  62.43 -63.44  1.5 -90.90 310 12.89
        3147     4.7      19212.5  62.39 -63.39  1.5 -90.90 310 12.90
        3148     4.7      19217.2  62.34 -63.34  1.5 -90.88 311 12.91
        3149     4.7      19221.8  62.29 -63.28  1.5 -90.87 311 12.90
        3150     4.9      19226.7  62.24 -63.22  1.5 -90.86 311 12.90
        3151     5.0      19231.7  62.19 -63.17  1.5 -90.85 311 12.89
        3152     5.1      19236.8  62.14 -63.14  1.5 -90.85 312 12.88
        3153     5.1      19242.0  62.09 -63.12  1.5 -90.86 312 12.86
        3154     5.0      19246.9  62.04 -63.10  1.5 -90.87 312 12.84
        3155     4.9      19251.8  61.99 -63.08  1.5 -90.88 313 12.82
        3156     4.8      19256.7  61.94 -63.05  1.5 -90.87 313 12.81
        3157     4.8      19261.5  61.89 -63.01  1.5 -90.85 313 12.79
        3158     4.9      19266.4  61.84 -62.97  1.5 -90.83 313 12.77
        3159     5.0      19271.3  61.79 -62.92  1.5 -90.81 314 12.76
        3160     5.0      19276.4  61.74 -62.87  1.5 -90.79 314 12.74
        3161     5.1      19281.5  61.69 -62.84  1.5 -90.78 314 12.73
        3162     5.1      19286.7  61.64 -62.83  1.5 -90.78 315 12.72
        3163     5.0      19291.8  61.59 -62.82  1.5 -90.78 315 12.71
        3164     4.9      19296.7  61.54 -62.83  1.5 -90.79 316 12.70
        3165     4.8      19301.4  61.49 -62.83  1.5 -90.80 316 12.69
        3166     4.8      19306.2  61.44 -62.82  1.5 -90.80 316 12.69
        3167     4.8      19311.1  61.39 -62.79  1.4 -90.79 317 12.68
        3168     4.8      19315.9  61.35 -62.77  1.4 -90.78 317 12.68
        3169     4.8      19320.7  61.30 -62.74  1.4 -90.77 317 12.67
        3170     4.9      19325.6  61.25 -62.73  1.4 -90.77 318 12.67
        3171     5.0      19330.6  61.20 -62.74  1.4 -90.80 318 12.67
        3172     5.2      19335.8  61.15 -62.78  1.4 -90.84 319 12.66
        3173     5.2      19341.1  61.10 -62.82  1.4 -90.88 319 12.65
        3174     5.1      19346.2  61.05 -62.86  1.4 -90.93 320 12.65
        3175     5.0      19351.2  61.00 -62.87  1.4 -90.96 320 12.64
        3176     4.9      19356.1  60.95 -62.87  1.4 -90.99 321 12.63
        3177     4.9      19360.9  60.90 -62.86  1.4 -91.00 321 12.62
        3178     4.9      19365.9  60.85 -62.83  1.4 -91.01 322 12.60
        3179     5.0      19370.9  60.80 -62.82  1.4 -91.03 323 12.59
        3180     5.1      19376.1  60.75 -62.80  1.4 -91.06 323 12.57
        3181     5.1      19381.2  60.70 -62.79  1.4 -91.09 324 12.56
        3182     5.1      19386.3  60.65 -62.77  1.4 -91.12 324 12.54
        3183     5.0      19391.3  60.60 -62.74  1.4 -91.14 325 12.52
        3184     5.0      19396.2  60.55 -62.69  1.3 -91.15 326 12.49
        3185     5.0      19401.1  60.50 -62.63  1.3 -91.15 326 12.47
        3186     5.2      19406.4  60.45 -62.55  1.3 -91.14 327 12.44
        3187     5.4      19411.8  60.40 -62.45  1.3 -91.13 328 12.41
        3188     5.3      19417.2  60.34 -62.36  1.3 -91.11 328 12.37
        3189     5.0      19422.2  60.30 -62.26  1.3 -91.10 329 12.33
        3190     4.8      19426.8  60.25 -62.16  1.3 -91.09 330 12.29
        3191     4.8      19431.6  60.21 -62.08  1.3 -91.09 331 12.24
