Elapsed time AscRate GpsHeightMSL      P   Temp   RH   Dewp Dir Speed
           s     m/s            m    hPa     ?C    %     ?C   ?   m/s
         153     5.8       1359.3 873.02   8.10 73.1   3.57 357  3.33
         154     5.6       1364.9 872.45   8.11 73.2   3.61 358  3.23
         155     5.5       1370.4 871.85   8.12 73.8   3.73 358  3.14
         156     5.4       1375.7 871.27   8.10 74.3   3.82 358  3.06
         157     5.5       1381.0 870.74   8.07 74.2   3.76 358  2.99
         158     5.8       1386.8 870.13   8.04 73.3   3.56 359  2.94
         159     6.4       1393.2 869.45   8.01 72.1   3.30 359  2.89
         160     6.9       1400.2 868.71   8.01 70.7   3.02 359  2.84
         161     7.0       1407.4 867.96   8.04 69.6   2.82 359  2.81
         162     6.8       1414.3 867.22   8.06 68.8   2.70 360  2.79
         163     6.2       1420.5 866.55   8.09 68.3   2.62 360  2.77
         164     5.5       1425.9 866.02   8.16 67.6   2.54   0  2.76
         165     5.2       1430.9 865.53   8.23 66.4   2.35   1  2.75
         166     5.3       1436.2 864.96   8.29 65.2   2.15   1  2.75
         167     5.5       1441.7 864.34   8.32 64.6   2.06   1  2.75
         168     5.5       1447.2 863.77   8.34 64.6   2.06   2  2.75
         169     5.6       1452.8 863.20   8.31 64.7   2.07   2  2.76
         170     5.7       1458.5 862.60   8.27 65.0   2.08   3  2.76
         171     5.9       1464.4 861.99   8.22 65.4   2.13   3  2.76
         172     6.1       1470.6 861.35   8.17 65.9   2.18   3  2.75
         173     6.1       1476.7 860.71   8.12 66.2   2.20   4  2.74
         174     6.0       1482.7 860.08   8.08 66.4   2.22   4  2.73
         175     5.8       1488.5 859.48   8.04 66.9   2.27   5  2.71
         176     5.5       1494.0 858.90   8.01 67.1   2.30   5  2.69
         177     5.4       1499.3 858.36   7.97 67.1   2.25   6  2.66
         178     5.5       1504.8 857.80   7.93 67.0   2.18   6  2.62
         179     5.6       1510.5 857.19   7.88 66.8   2.11   6  2.58
         180     5.6       1516.2 856.60   7.83 66.7   2.03   7  2.53
         181     5.5       1521.6 856.02   7.80 66.3   1.93   7  2.47
         182     5.2       1526.9 855.49   7.77 65.9   1.80   8  2.40
         183     5.1       1531.9 854.98   7.75 65.4   1.69   8  2.33
         184     5.2       1537.0 854.44   7.73 65.2   1.62   9  2.25
         185     5.4       1542.5 853.87   7.70 65.3   1.62  10  2.17
         186     5.6       1548.1 853.29   7.66 65.7   1.66  10  2.08
         187     5.8       1554.0 852.69   7.60 66.0   1.68  11  1.98
         188     5.8       1559.8 852.06   7.54 66.4   1.70  12  1.88
         189     5.6       1565.5 851.48   7.50 66.9   1.77  13  1.78
         190     5.5       1570.9 850.94   7.45 67.5   1.85  15  1.68
         191     5.4       1576.3 850.39   7.41 68.2   1.95  16  1.57
         192     5.5       1581.8 849.81   7.36 68.8   2.03  18  1.47
         193     5.6       1587.4 849.23   7.32 69.3   2.09  21  1.37
         194     5.7       1593.2 848.64   7.28 69.7   2.13  24  1.27
         195     5.8       1599.0 848.04   7.24 69.5   2.05  27  1.18
         196     5.7       1604.7 847.44   7.21 68.4   1.80  31  1.09
         197     5.6       1610.3 846.85   7.19 66.9   1.47  36  1.02
         198     5.6       1615.8 846.31   7.17 65.7   1.20  42  0.96
         199     5.7       1621.5 845.73   7.15 65.1   1.06  48  0.91
         200     6.1       1627.5 845.10   7.12 65.6   1.12  55  0.88
         201     6.5       1634.1 844.43   7.08 66.2   1.21  62  0.86
         202     6.8       1640.9 843.72   7.04 66.3   1.20  68  0.87
         203     6.8       1647.9 843.02   7.01 66.2   1.15  75  0.88
         204     6.7       1654.6 842.34   6.97 65.7   1.00  81  0.91
         205     6.3       1661.0 841.67   6.95 64.1   0.64  86  0.95
         206     5.9       1666.8 841.08   6.96 62.0   0.18  90  1.00
         207     5.4       1672.2 840.53   6.98 59.7  -0.31  93  1.05
         208     5.2       1677.3 840.01   7.00 57.9  -0.71  96  1.11
         209     5.1       1682.3 839.49   7.00 57.4  -0.82  99  1.17
         210     5.2       1687.5 838.96   6.99 57.6  -0.78 100  1.22
         211     5.4       1693.0 838.40   6.99 57.8  -0.73 102  1.28
         212     5.6       1698.6 837.83   6.99 57.9  -0.73 103  1.34
         213     5.8       1704.4 837.23   6.97 57.9  -0.74 104  1.39
         214     6.1       1710.4 836.63   6.94 58.1  -0.71 104  1.44
         215     6.3       1716.8 835.98   6.89 58.5  -0.67 105  1.50
         216     6.5       1723.4 835.31   6.84 58.8  -0.64 105  1.55
         217     6.4       1729.9 834.65   6.79 59.0  -0.65 105  1.59
         218     6.1       1736.0 834.01   6.74 59.0  -0.69 105  1.64
         219     5.7       1741.7 833.44   6.71 59.0  -0.73 105  1.68
         220     5.4       1747.0 832.92   6.69 59.0  -0.74 105  1.72
         221     5.5       1752.4 832.38   6.69 59.1  -0.71 105  1.76
         222     5.7       1758.1 831.79   6.67 59.4  -0.67 105  1.79
         223     5.9       1764.0 831.18   6.65 59.7  -0.63 105  1.83
         224     5.9       1770.0 830.59   6.62 60.0  -0.57 105  1.86
         225     5.8       1775.8 829.99   6.59 60.5  -0.49 104  1.89
         226     5.5       1781.3 829.43   6.55 60.9  -0.44 104  1.92
         227     5.2       1786.4 828.92   6.52 61.3  -0.38 104  1.95
         228     5.1       1791.3 828.43   6.47 61.7  -0.33 103  1.97
         229     5.3       1796.6 827.90   6.42 62.1  -0.29 103  2.00
         230     5.6       1802.3 827.32   6.37 62.3  -0.29 103  2.02
         231     5.8       1808.3 826.71   6.31 62.4  -0.33 102  2.04
         232     5.7       1814.1 826.12   6.25 62.5  -0.37 102  2.05
         233     5.4       1819.5 825.57   6.21 62.7  -0.37 101  2.07
         234     5.1       1824.4 825.09   6.17 63.0  -0.33 100  2.08
         235     5.0       1829.4 824.61   6.14 63.4  -0.27 100  2.09
         236     5.3       1834.6 824.08   6.10 63.8  -0.22  99  2.10
         237     5.5       1840.3 823.49   6.06 64.3  -0.16  98  2.11
         238     5.6       1845.9 822.90   6.02 64.8  -0.10  97  2.12
         239     5.5       1851.4 822.37   5.99 65.1  -0.07  96  2.13
         240     5.4       1856.8 821.85   5.95 65.2  -0.06  95  2.13
         241     5.5       1862.2 821.30   5.90 65.5  -0.06  94  2.14
         242     5.6       1867.9 820.73   5.85 65.9  -0.02  93  2.14
         243     5.7       1873.6 820.14   5.79 66.4   0.02  92  2.15
         244     5.7       1879.4 819.57   5.73 66.6   0.01  90  2.15
         245     5.7       1885.1 819.01   5.68 66.6  -0.04  89  2.16
         246     5.7       1890.8 818.43   5.65 66.6  -0.07  88  2.16
         247     5.7       1896.5 817.86   5.61 66.9  -0.05  86  2.16
         248     5.6       1902.1 817.30   5.58 67.1  -0.03  85  2.17
         249     5.6       1907.7 816.74   5.55 67.2  -0.05  83  2.17
         250     5.5       1913.2 816.19   5.52 67.2  -0.08  82  2.17
         251     5.5       1918.7 815.65   5.48 67.4  -0.06  80  2.17
         252     5.5       1924.1 815.11   5.44 67.8  -0.01  79  2.18
         253     5.5       1929.6 814.55   5.39 68.2   0.02  77  2.18
         254     5.6       1935.2 814.00   5.33 68.6   0.04  75  2.18
         255     5.8       1941.0 813.43   5.29 69.0   0.07  74  2.18
         256     5.9       1947.0 812.82   5.24 69.4   0.11  72  2.18
         257     6.0       1953.0 812.23   5.20 69.9   0.16  70  2.17
         258     5.9       1959.0 811.64   5.15 70.4   0.21  68  2.17
         259     5.8       1964.8 811.05   5.11 70.7   0.25  66  2.17
         260     5.6       1970.3 810.51   5.07 71.0   0.26  64  2.17
         261     5.5       1975.7 809.98   5.05 71.4   0.32  62  2.16
         262     5.5       1981.2 809.44   5.02 71.9   0.39  60  2.16
         263     5.6       1986.7 808.88   4.98 72.5   0.46  58  2.16
         264     5.7       1992.5 808.31   4.93 73.1   0.52  55  2.16
         265     5.8       1998.3 807.74   4.88 73.4   0.54  53  2.16
         266     5.9       2004.2 807.15   4.82 73.7   0.53  50  2.17
         267     5.9       2010.2 806.55   4.78 73.8   0.51  48  2.17
         268     5.9       2016.1 805.97   4.75 73.8   0.48  45  2.18
         269     6.0       2022.0 805.40   4.72 73.7   0.44  43  2.20
         270     6.2       2028.2 804.80   4.68 73.8   0.42  40  2.22
         271     6.3       2034.6 804.16   4.64 74.0   0.41  38  2.24
         272     6.3       2041.0 803.51   4.59 74.3   0.41  35  2.27
         273     5.9       2046.9 802.93   4.53 74.6   0.43  33  2.30
         274     5.5       2052.3 802.41   4.48 75.0   0.44  31  2.34
         275     5.2       2057.4 801.91   4.42 75.2   0.42  29  2.38
         276     5.1       2062.4 801.41   4.37 75.4   0.41  27  2.42
         277     5.3       2067.7 800.89   4.33 75.7   0.43  25  2.47
         278     5.6       2073.3 800.35   4.29 76.0   0.45  23  2.52
         279     6.0       2079.3 799.76   4.24 76.4   0.46  22  2.57
         280     6.2       2085.6 799.13   4.18 76.7   0.47  21  2.63
         281     6.1       2091.7 798.53   4.13 76.9   0.45  20  2.69
         282     5.8       2097.5 797.96   4.08 77.0   0.42  19  2.75
         283     5.5       2103.0 797.41   4.04 77.0   0.39  18  2.81
         284     5.3       2108.2 796.93   4.01 77.2   0.39  17  2.87
         285     5.6       2113.6 796.41   3.97 77.6   0.42  17  2.93
         286     6.0       2119.7 795.81   3.93 78.1   0.47  17  3.00
         287     6.3       2126.1 795.16   3.89 78.6   0.51  16  3.06
