Station Position;Payerne_Start
Longitude (°);6.94368
Latitude (°);46.813018
Altitude (m);491.0

Software Version
Software; X-ASMS Brass V1.7.2
Config; SRS-C34-57, 14.08.2013

Barometric Parameter
Barometric Pressure (hPa);
Barometer Height (m);491.0

Surface Weather
Pressure (hPa);969.5
Temperature (°C);12.0
Humidity (%);66.3
Dewpoint (°C);5.91
Wind Velocity (m/s);1.1
Wind Direction (°);088
Clouds;
Ozone (nb);

Sounding;2017102412
Start Date;24.10.17
Start Time;11:06:06
Remark;

Sonde;SRS_C34
Serial Number;4677
Sonde Identifier;57
DTH;0.0

ECC Cells
Background Current Ib1 (uA);
Background Current Ib2 (uA);
Pump Performance (s/100ml);
Serial Number ECC;

IWV (mm);17.772

Pressure Level (hPa);1000.0
Altitude (m);232.22

Sounding Data
Rel. Time;Altitude (gpm);Wind Direction (°);Wind Velocity (m/s);Pressure (hPa);Temperature (°C);Humidity (%);Dewpoint (°C);Ozone (nbar);Ozone normalized (nbar);Pump Temperature (K);I ECC cells (uA);Level Flag;LAT (°);LON (°);Channel Temperature (°C)
1103;7369.72;348.05;26.93;404.32;-24.85;26.14;-38.86;;;;;0;46.702402;6.962927;-23.8
1104;7375.71;347.97;26.93;403.98;-24.85;25.21;-39.21;;;;;2;46.702168;6.962983;-23.8
1105;7381.1;347.89;26.92;403.68;-24.85;24.44;-39.56;;;;;0;46.701935;6.963045;-23.81
1106;7386.78;347.76;26.91;403.37;-24.95;23.66;-39.91;;;;;0;46.701702;6.963117;-23.8
1107;7393.27;347.62;26.89;403.01;-25.05;23.02;-40.23;;;;;0;46.701458;6.963188;-23.79
1108;7400.06;347.45;26.88;402.63;-25.06;22.37;-40.55;;;;;0;46.701213;6.963267;-23.84
1109;7407.74;347.27;26.85;402.21;-25.07;21.84;-40.86;;;;;0;46.700968;6.963347;-23.89
1110;7415.52;347.08;26.82;401.77;-25.23;21.3;-41.17;;;;;0;46.700728;6.963422;-23.91
1111;7422.51;346.88;26.79;401.39;-25.27;20.85;-41.4;;;;;0;46.700488;6.963495;-23.93
1112;7428.59;346.67;26.76;401.05;-25.3;20.41;-41.64;;;;;0;46.700257;6.963572;-23.9
1113;7434.28;346.47;26.72;400.74;-25.3;20.02;-41.82;;;;;0;46.700027;6.963657;-23.88
1114;7440.17;346.26;26.67;400.41;-25.31;19.68;-42.02;;;;;0;46.699797;6.963748;-23.95
1115;7447.64;346.01;26.62;400.0;-25.39;19.28;-42.25;;;;;10;46.69951;6.963869;-24.04
1116;7452.24;345.86;26.58;399.75;-25.44;19.07;-42.37;;;;;0;46.69933;6.963943;-24.12
1117;7458.13;345.67;26.53;399.42;-25.42;18.79;-42.52;;;;;0;46.699093;6.964033;-24.23
1118;7464.21;345.5;26.48;399.09;-25.41;18.58;-42.64;;;;;0;46.698858;6.96412;-24.23
1119;7470.4;345.33;26.43;398.75;-25.45;18.37;-42.76;;;;;0;46.698628;6.964203;-24.18
1120;7476.29;345.16;26.38;398.42;-25.5;18.23;-42.87;;;;;0;46.698405;6.964288;-24.13
1121;7482.17;345.01;26.33;398.1;-25.53;18.08;-42.98;;;;;0;46.698185;6.96438;-24.2
1122;7487.56;344.87;26.29;397.8;-25.56;18.01;-43.02;;;;;0;46.697963;6.964477;-24.28
1123;7493.15;344.74;26.25;397.5;-25.52;17.93;-43.05;;;;;0;46.69774;6.964575;-24.34
1124;7498.64;344.62;26.22;397.2;-25.48;17.92;-43.05;;;;;0;46.697508;6.964672;-24.4
1125;7504.22;344.51;26.2;396.89;-25.51;17.92;-43.05;;;;;0;46.697272;6.964763;-24.41
1126;7509.41;344.42;26.18;396.61;-25.54;17.98;-43.09;;;;;0;46.697035;6.964848;-24.42
1127;7514.5;344.34;26.18;396.33;-25.68;18.04;-43.13;;;;;0;46.696803;6.96493;-24.43
1128;7520.09;344.28;26.18;396.02;-25.65;18.15;-43.05;;;;;0;46.696577;6.96501;-24.43
1129;7525.48;344.25;26.19;395.73;-25.63;18.27;-42.97;;;;;0;46.696355;6.965088;-24.49
1130;7530.56;344.23;26.22;395.45;-25.71;18.42;-42.96;;;;;0;46.696142;6.965175;-24.55
1131;7535.45;344.24;26.25;395.18;-25.78;18.57;-42.94;;;;;0;46.695933;6.965265;-24.55
1132;7540.64;344.27;26.3;394.9;-25.82;18.73;-42.89;;;;;0;46.695727;6.965368;-24.56
1133;7545.73;344.32;26.35;394.62;-25.85;18.88;-42.85;;;;;0;46.69552;6.965482;-24.58
1134;7551.12;344.39;26.41;394.33;-25.9;19.03;-42.82;;;;;0;46.695308;6.965602;-24.61
1135;7556.8;344.47;26.47;394.02;-25.96;19.14;-42.79;;;;;0;46.695085;6.965728;-24.65
1136;7562.09;344.57;26.54;393.73;-25.96;19.24;-42.76;;;;;0;46.694852;6.96585;-24.68
1137;7567.08;344.68;26.6;393.46;-25.96;19.25;-42.78;;;;;0;46.69461;6.965963;-24.72
1138;7572.37;344.78;26.67;393.17;-26.01;19.25;-42.8;;;;;0;46.694363;6.966062;-24.74
1139;7578.06;344.88;26.74;392.86;-26.06;19.11;-42.91;;;;;0;46.694113;6.966147;-24.77
1140;7583.94;344.97;26.81;392.55;-26.1;18.97;-43.02;;;;;0;46.693865;6.966215;-24.82
1141;7589.83;345.05;26.87;392.23;-26.14;18.62;-43.22;;;;;0;46.693623;6.966275;-24.88
1142;7595.22;345.1;26.93;391.93;-26.17;18.27;-43.43;;;;;2;46.69339;6.966333;-24.94
1143;7600.71;345.13;26.99;391.64;-26.2;17.67;-43.77;;;;;0;46.69316;6.9664;-25.0
1144;7606.49;345.14;27.05;391.32;-26.23;17.06;-44.11;;;;;0;46.69293;6.966478;-25.0
1145;7612.28;345.13;27.11;391.01;-26.25;16.17;-44.65;;;;;0;46.692698;6.966563;-25.0
1146;7617.27;345.09;27.16;390.74;-26.29;15.27;-45.2;;;;;0;46.692462;6.966652;-25.02
1147;7621.36;345.04;27.21;390.52;-26.33;14.05;-46.09;;;;;0;46.692223;6.96674;-25.05
1148;7626.35;344.98;27.27;390.25;-26.53;12.83;-46.98;;;;;0;46.691978;6.966835;-25.12
1149;7632.13;344.91;27.33;389.94;-26.54;11.38;-48.07;;;;;0;46.691735;6.966928;-25.2
1150;7637.92;344.84;27.39;389.62;-26.55;9.63;-49.89;;;;;0;46.691498;6.967018;-25.27
1151;7643.41;344.79;27.45;389.33;-26.55;7.89;-51.72;;;;;0;46.691267;6.96711;-25.34
1152;7648.3;344.75;27.51;389.06;-26.66;6.15;-53.54;;;;;0;46.691037;6.9672;-25.31
1153;7653.48;344.73;27.57;388.78;-26.71;4.17;-56.82;;;;;0;46.69081;6.967303;-25.27
1154;7659.77;344.74;27.63;388.45;-26.76;2.58;-62.38;;;;;0;46.690582;6.967417;-25.36
1155;7666.75;344.79;27.69;388.07;-26.79;1.0;-67.94;;;;;2;46.690348;6.967537;-25.45
1157;7681.62;344.98;27.8;387.27;-26.74;1.0;-67.91;;;;;0;46.689862;6.967763;-25.63
1158;7688.7;345.12;27.85;386.89;-26.67;1.0;-67.89;;;;;0;46.689617;6.967868;-25.56
1159;7694.99;345.3;27.89;386.55;-26.69;1.0;-67.88;;;;;0;46.689372;6.967968;-25.56
1160;7700.78;345.5;27.91;386.24;-26.71;1.0;-67.88;;;;;0;46.689128;6.968067;-25.57
1161;7706.46;345.73;27.93;385.94;-26.7;1.0;-67.88;;;;;0;46.688885;6.968168;-25.58
1162;7712.65;345.97;27.94;385.61;-26.68;1.0;-67.88;;;;;0;46.688642;6.968273;-25.59
1163;7718.73;346.23;27.94;385.28;-26.69;1.0;-67.88;;;;;0;46.688393;6.968377;-25.62
1164;7724.52;346.48;27.93;384.97;-26.7;1.0;-67.86;;;;;0;46.688138;6.968475;-25.64
1165;7730.81;346.74;27.9;384.64;-26.64;1.0;-67.85;;;;;0;46.68788;6.968565;-25.62
1166;7737.69;346.98;27.88;384.27;-26.59;1.0;-67.84;;;;;0;46.687623;6.968645;-25.6
1167;7745.27;347.2;27.84;383.87;-26.63;1.0;-67.84;;;;;0;46.687365;6.968712;-25.62
1168;7753.06;347.41;27.8;383.46;-26.68;1.0;-67.87;;;;;0;46.68711;6.968767;-25.65
1169;7759.44;347.59;27.77;383.12;-26.71;1.0;-67.89;;;;;0;46.686858;6.968815;-25.63
1170;7764.23;347.75;27.73;382.86;-26.75;1.0;-67.91;;;;;0;46.686613;6.968865;-25.61
1171;7769.52;347.89;27.69;382.58;-26.76;1.0;-67.92;;;;;0;46.686375;6.968918;-25.65
1172;7776.0;348.0;27.66;382.24;-26.78;1.0;-67.94;;;;;0;46.686142;6.968982;-25.7
1173;7783.09;348.09;27.63;381.86;-26.81;1.0;-67.94;;;;;0;46.685915;6.969055;-25.7
1174;7790.47;348.16;27.61;381.47;-26.78;1.0;-67.94;;;;;0;46.685688;6.969133;-25.7
1175;7797.85;348.22;27.59;381.08;-26.76;1.0;-67.93;;;;;0;46.685463;6.969213;-25.68
1176;7804.63;348.26;27.58;380.72;-26.76;1.0;-67.92;;;;;0;46.685233;6.969288;-25.65
1177;7811.02;348.31;27.58;380.39;-26.76;1.0;-67.94;;;;;0;46.684998;6.969358;-25.66
1178;7816.61;348.35;27.57;380.09;-26.82;1.0;-67.96;;;;;0;46.684755;6.96943;-25.68
1179;7821.99;348.4;27.57;379.81;-26.87;1.0;-68.02;;;;;2;46.684505;6.969505;-25.71
1180;7828.38;348.46;27.56;379.47;-26.99;1.0;-68.08;;;;;0;46.68425;6.969585;-25.75
1181;7835.66;348.52;27.56;379.09;-27.1;1.0;-68.13;;;;;0;46.683995;6.969673;-25.96
1182;7843.14;348.6;27.55;378.69;-27.16;1.0;-68.19;;;;;0;46.683742;6.969762;-26.0
1183;7850.23;348.68;27.53;378.32;-27.21;1.0;-68.24;;;;;0;46.683495;6.969847;-26.04
1184;7857.81;348.77;27.52;377.92;-27.3;1.0;-68.28;;;;;0;46.683248;6.969928;-26.1
1185;7865.59;348.86;27.5;377.51;-27.38;1.05;-67.93;;;;;0;46.683;6.970005;-26.16
1186;7873.57;348.96;27.48;377.1;-27.38;1.11;-67.58;;;;;2;46.68275;6.970078;-26.19
1187;7881.45;349.06;27.46;376.68;-27.37;2.18;-63.5;;;;;0;46.682503;6.97015;-26.22
1188;7888.94;349.15;27.43;376.29;-27.49;3.25;-59.42;;;;;0;46.68226;6.97022;-26.29
1189;7896.42;349.23;27.42;375.9;-27.61;4.17;-57.65;;;;;0;46.682017;6.970282;-26.35
1190;7903.4;349.3;27.4;375.53;-27.69;5.1;-55.89;;;;;0;46.681775;6.970335;-26.39
1191;7909.29;349.36;27.4;375.23;-27.77;5.92;-54.74;;;;;0;46.68154;6.970378;-26.43
1192;7914.88;349.4;27.4;374.94;-27.74;6.73;-53.6;;;;;0;46.681313;6.970418;-26.48
1193;7920.26;349.43;27.41;374.65;-27.72;7.48;-52.77;;;;;0;46.681088;6.970463;-26.53
1194;7926.25;349.45;27.42;374.34;-27.81;8.23;-51.94;;;;;0;46.68086;6.970517;-26.6
1195;7932.93;349.46;27.45;373.99;-27.89;8.95;-51.29;;;;;0;46.680627;6.97058;-26.66
1196;7940.21;349.46;27.49;373.61;-27.95;9.67;-50.65;;;;;0;46.680388;6.970653;-26.68
1197;7947.4;349.46;27.54;373.24;-28.01;10.42;-50.05;;;;;0;46.680145;6.970723;-26.7
1198;7954.58;349.46;27.6;372.87;-28.01;11.16;-49.45;;;;;0;46.679897;6.970787;-26.73
1199;7961.26;349.47;27.66;372.52;-28.02;11.94;-48.87;;;;;0;46.679645;6.970853;-26.76
1200;7966.45;349.49;27.73;372.25;-28.02;12.73;-48.28;;;;;0;46.679393;6.970915;-26.77
1201;7971.54;349.53;27.8;371.99;-28.02;13.59;-47.78;;;;;0;46.67914;6.970983;-26.77
1202;7977.53;349.58;27.87;371.68;-28.18;14.44;-47.29;;;;;0;46.67889;6.971058;-26.84
1203;7985.01;349.64;27.95;371.29;-28.24;15.35;-46.78;;;;;0;46.678642;6.971143;-26.91
1204;7992.49;349.73;28.03;370.9;-28.3;16.3;-46.29;;;;;0;46.678397;6.971233;-27.0
1205;7999.87;349.83;28.1;370.52;-28.35;17.26;-45.81;;;;;0;46.678157;6.971323;-27.08
1207;8014.74;350.06;28.25;369.75;-28.44;19.25;-44.88;;;;;0;46.677682;6.971485;-27.2
1208;8020.92;350.17;28.32;369.43;-28.49;20.26;-44.46;;;;;0;46.677442;6.971553;-27.24
1209;8025.61;350.29;28.38;369.19;-28.55;21.28;-44.04;;;;;0;46.677195;6.971615;-27.27
1210;8030.6;350.39;28.45;368.93;-28.6;22.27;-43.7;;;;;0;46.676942;6.971668;-27.29
1211;8036.48;350.47;28.5;368.63;-28.7;23.27;-43.35;;;;;0;46.676677;6.971712;-27.31
1212;8042.97;350.53;28.56;368.3;-28.8;24.21;-43.05;;;;;0;46.676402;6.971753;-27.37
1213;8050.05;350.56;28.61;367.93;-28.87;25.15;-42.76;;;;;0;46.676127;6.971797;-27.43
1214;8057.13;350.56;28.66;367.57;-28.94;26.01;-42.49;;;;;0;46.675853;6.97184;-27.55
1215;8063.82;350.53;28.71;367.23;-28.97;26.86;-42.23;;;;;0;46.675588;6.97189;-27.59
1216;8069.9;350.46;28.76;366.91;-29.0;27.61;-42.03;;;;;0;46.675332;6.971942;-27.63
1217;8075.59;350.37;28.81;366.62;-29.11;28.36;-41.83;;;;;0;46.675087;6.971988;-27.71
1218;8081.18;350.25;28.87;366.33;-29.22;28.97;-41.69;;;;;0;46.674845;6.972033;-27.78
1219;8086.86;350.12;28.93;366.04;-29.24;29.59;-41.55;;;;;0;46.674603;6.972078;-27.83
1220;8092.65;349.97;28.99;365.75;-29.27;30.07;-41.41;;;;;0;46.674357;6.972128;-27.88
1221;8098.73;349.81;29.05;365.43;-29.27;30.54;-41.27;;;;;0;46.67411;6.972187;-27.94
1222;8105.52;349.66;29.11;365.09;-29.27;30.87;-41.21;;;;;0;46.673858;6.972255;-28.0
1223;8113.2;349.51;29.18;364.69;-29.36;31.19;-41.15;;;;;2;46.673603;6.972343;-28.04
1224;8120.78;349.38;29.25;364.31;-29.45;31.37;-41.15;;;;;0;46.673348;6.972437;-28.08
1225;8127.76;349.27;29.31;363.95;-29.48;31.55;-41.15;;;;;0;46.673092;6.972533;-28.17
1226;8134.95;349.18;29.38;363.59;-29.49;31.6;-41.15;;;;;0;46.672832;6.972628;-28.25
1227;8141.03;349.12;29.44;363.28;-29.5;31.64;-41.14;;;;;0;46.672567;6.972713;-28.26
1228;8147.12;349.09;29.49;362.97;-29.54;31.5;-41.21;;;;;0;46.672293;6.972797;-28.27
1229;8153.7;349.09;29.54;362.63;-29.57;31.37;-41.29;;;;;0;46.67202;6.972883;-28.3
1230;8160.48;349.12;29.58;362.29;-29.61;31.24;-41.36;;;;;0;46.67175;6.97297;-28.33
1231;8167.07;349.17;29.61;361.95;-29.65;31.1;-41.43;;;;;0;46.671483;6.973053;-28.36
1232;8173.75;349.23;29.63;361.61;-29.67;30.85;-41.53;;;;;0;46.671218;6.973133;-28.39
1233;8181.03;349.32;29.64;361.24;-29.69;30.55;-41.65;;;;;0;46.670957;6.973207;-28.44
1234;8188.81;349.41;29.64;360.85;-29.73;30.24;-41.78;;;;;0;46.670695;6.973275;-28.49
1235;8196.69;349.5;29.63;360.45;-29.77;29.9;-41.93;;;;;0;46.670435;6.973345;-28.53
1236;8204.47;349.59;29.61;360.06;-29.82;29.55;-42.08;;;;;0;46.670178;6.973412;-28.58
1237;8211.96;349.66;29.57;359.68;-29.87;29.18;-42.24;;;;;0;46.669923;6.973475;-28.57
1238;8219.64;349.72;29.52;359.29;-29.92;28.81;-42.4;;;;;0;46.66967;6.973535;-28.55
1239;8226.42;349.76;29.45;358.95;-29.96;28.45;-42.57;;;;;0;46.669413;6.973593;-28.66
1240;8233.0;349.77;29.38;358.62;-30.02;28.09;-42.74;;;;;0;46.669153;6.973655;-28.72
1241;8238.79;349.76;29.28;358.33;-30.09;27.75;-42.9;;;;;0;46.668883;6.973718;-28.77
1242;8244.38;349.7;29.18;358.04;-30.14;27.41;-43.07;;;;;0;46.668605;6.973782;-28.74
1243;8249.06;349.62;29.07;357.81;-30.19;27.12;-43.22;;;;;0;46.668323;6.973843;-28.7
1244;8253.85;349.5;28.96;357.57;-30.26;26.82;-43.38;;;;;0;46.66804;6.973902;-28.76
1245;8259.44;349.36;28.84;357.29;-30.33;26.58;-43.51;;;;;0;46.667758;6.973963;-28.81
1246;8265.92;349.18;28.72;356.96;-30.35;26.33;-43.63;;;;;0;46.667485;6.974025;-28.88
1247;8272.51;348.99;28.61;356.63;-30.37;26.14;-43.75;;;;;0;46.667225;6.97408;-28.96
1248;8279.89;348.77;28.52;356.26;-30.46;25.95;-43.87;;;;;0;46.666977;6.974138;-29.06
1249;8287.27;348.56;28.44;355.89;-30.55;25.8;-43.98;;;;;0;46.66674;6.974197;-29.16
1250;8293.85;348.34;28.38;355.56;-30.59;25.66;-44.09;;;;;0;46.666512;6.974258;-29.14
1251;8298.84;348.13;28.34;355.31;-30.64;25.56;-44.17;;;;;0;46.666288;6.974325;-29.12
1252;8303.23;347.94;28.33;355.09;-30.71;25.46;-44.26;;;;;0;46.666068;6.974403;-29.16
1253;8308.72;347.77;28.35;354.82;-30.78;25.4;-44.34;;;;;0;46.665848;6.974497;-29.2
1254;8314.9;347.63;28.4;354.51;-30.84;25.33;-44.43;;;;;0;46.665628;6.9746;-29.29
1255;8321.68;347.53;28.47;354.17;-30.9;25.28;-44.48;;;;;0;46.665405;6.974708;-29.38
1256;8328.77;347.46;28.57;353.81;-30.93;25.23;-44.54;;;;;0;46.665177;6.974818;-29.46
1257;8335.85;347.43;28.68;353.46;-30.97;25.19;-44.59;;;;;0;46.66494;6.974913;-29.55
1258;8342.53;347.43;28.81;353.13;-31.01;25.15;-44.64;;;;;0;46.664693;6.975003;-29.6
1259;8348.62;347.46;28.95;352.83;-31.04;25.1;-44.69;;;;;0;46.664437;6.975085;-29.65
1260;8355.2;347.52;29.1;352.5;-31.1;25.06;-44.75;;;;;0;46.664173;6.975168;-29.7
1261;8362.08;347.61;29.24;352.16;-31.15;25.01;-44.83;;;;;0;46.663905;6.97525;-29.76
1262;8369.56;347.7;29.37;351.78;-31.23;24.96;-44.91;;;;;0;46.663633;6.975335;-29.81
1263;8376.94;347.81;29.5;351.42;-31.32;24.91;-44.98;;;;;0;46.663358;6.975425;-29.87
1264;8382.93;347.92;29.61;351.12;-31.36;24.85;-45.06;;;;;0;46.663082;6.975518;-29.87
1265;8388.02;348.03;29.7;350.87;-31.4;24.8;-45.12;;;;;0;46.6628;6.975608;-29.87
1266;8394.0;348.13;29.78;350.57;-31.46;24.74;-45.19;;;;;0;46.662518;6.97569;-29.95
1267;8400.59;348.22;29.84;350.25;-31.53;24.69;-45.26;;;;;0;46.662238;6.97576;-30.04
1268;8407.77;348.3;29.88;349.89;-31.58;24.64;-45.33;;;;;0;46.661965;6.975822;-30.11
1269;8414.45;348.35;29.91;349.56;-31.63;24.61;-45.37;;;;;0;46.661698;6.975878;-30.19
1270;8420.43;348.39;29.93;349.26;-31.65;24.57;-45.42;;;;;0;46.66144;6.97594;-30.23
1271;8426.22;348.4;29.94;348.98;-31.67;24.56;-45.47;;;;;0;46.661185;6.976007;-30.28
1272;8432.4;348.38;29.94;348.67;-31.76;24.55;-45.53;;;;;0;46.66093;6.976085;-30.33
1273;8438.69;348.34;29.95;348.36;-31.86;24.57;-45.55;;;;;0;46.660672;6.976172;-30.38
1274;8444.57;348.27;29.95;348.07;-31.83;24.59;-45.57;;;;;0;46.660408;6.97626;-30.37
1275;8449.56;348.17;29.96;347.83;-31.81;24.64;-45.59;;;;;0;46.660143;6.976352;-30.37
1276;8454.85;348.06;29.97;347.57;-31.91;24.7;-45.6;;;;;0;46.659877;6.976438;-30.49
1277;8460.23;347.92;30.0;347.3;-32.02;24.78;-45.64;;;;;0;46.659615;6.976517;-30.61
1278;8466.32;347.76;30.03;347.0;-32.07;24.87;-45.68;;;;;0;46.659358;6.976592;-30.67
1279;8472.6;347.59;30.07;346.69;-32.13;24.99;-45.68;;;;;0;46.659103;6.976655;-30.73
1280;8479.39;347.41;30.11;346.36;-32.16;25.1;-45.67;;;;;0;46.658848;6.976708;-30.77
1281;8486.57;347.23;30.17;346.01;-32.2;25.24;-45.65;;;;;0;46.658592;6.976765;-30.8
1282;8493.25;347.05;30.22;345.68;-32.22;25.38;-45.62;;;;;0;46.658332;6.976827;-30.85
1283;8499.23;346.88;30.28;345.39;-32.25;25.54;-45.61;;;;;0;46.658072;6.976895;-30.9
1284;8504.92;346.73;30.34;345.11;-32.32;25.69;-45.6;;;;;0;46.657807;6.976978;-30.9
1285;8511.1;346.6;30.39;344.81;-32.39;25.85;-45.61;;;;;0;46.657535;6.977083;-30.9
1286;8517.79;346.49;30.44;344.48;-32.48;26.0;-45.63;;;;;0;46.657265;6.9772;-30.97
1287;8524.17;346.4;30.47;344.17;-32.57;26.15;-45.64;;;;;0;46.656997;6.977333;-31.05
1288;8530.06;346.34;30.5;343.88;-32.62;26.3;-45.65;;;;;0;46.656727;6.977475;-31.07
1289;8535.54;346.29;30.51;343.61;-32.68;26.45;-45.64;;;;;0;46.656455;6.97762;-31.09
1290;8540.53;346.27;30.51;343.37;-32.71;26.59;-45.63;;;;;0;46.65618;6.97776;-31.04
1291;8545.42;346.26;30.5;343.13;-32.74;26.72;-45.61;;;;;0;46.655902;6.977888;-31.0
1292;8550.3;346.26;30.47;342.89;-32.77;26.84;-45.59;;;;;0;46.65562;6.978;-31.03
1293;8554.29;346.26;30.44;342.7;-32.8;26.97;-45.58;;;;;0;46.655338;6.978098;-31.06
1294;8558.08;346.26;30.4;342.51;-32.83;27.09;-45.56;;;;;0;46.655063;6.97818;-31.14
1295;8563.07;346.24;30.35;342.27;-32.86;27.22;-45.57;;;;;0;46.654792;6.978245;-31.22
1296;8569.45;346.2;30.31;341.96;-32.94;27.35;-45.58;;;;;0;46.65453;6.978298;-31.36
1297;8576.93;346.14;30.26;341.6;-33.03;27.5;-45.6;;;;;0;46.654277;6.978347;-31.5
1298;8584.71;346.05;30.22;341.22;-33.1;27.64;-45.62;;;;;2;46.654025;6.978395;-31.59
1299;8592.69;345.94;30.18;340.83;-33.18;27.82;-45.6;;;;;0;46.653775;6.978447;-31.67
1300;8600.07;345.8;30.16;340.47;-33.19;28.0;-45.58;;;;;0;46.653518;6.97851;-31.75
1301;8606.56;345.65;30.14;340.16;-33.19;28.23;-45.54;;;;;0;46.653258;6.978587;-31.82
1302;8612.34;345.48;30.14;339.88;-33.26;28.46;-45.5;;;;;0;46.652993;6.978685;-31.9
1303;8617.93;345.3;30.14;339.61;-33.34;28.74;-45.56;;;;;0;46.652732;6.978798;-31.97
1304;8624.21;345.11;30.16;339.31;-33.6;29.02;-45.62;;;;;0;46.652472;6.97892;-31.99
1305;8631.79;344.93;30.19;338.94;-33.68;29.35;-45.58;;;;;0;46.652212;6.979053;-32.01
1306;8639.57;344.76;30.23;338.56;-33.75;29.72;-45.52;;;;;0;46.651955;6.979187;-32.1
1307;8647.35;344.61;30.28;338.19;-33.79;30.1;-45.45;;;;;0;46.651702;6.979322;-32.18
1308;8654.93;344.46;30.34;337.82;-33.83;30.52;-45.36;;;;;0;46.651448;6.979453;-32.21
1309;8661.61;344.34;30.41;337.5;-33.86;30.94;-45.27;;;;;0;46.65119;6.979582;-32.24
1310;8667.4;344.24;30.48;337.22;-33.88;31.4;-45.15;;;;;0;46.650927;6.979703;-32.25
1311;8673.18;344.15;30.56;336.94;-33.91;31.85;-45.04;;;;;0;46.650657;6.979813;-32.27
1312;8678.97;344.08;30.64;336.66;-33.95;32.33;-44.93;;;;;0;46.650388;6.979912;-32.33
1313;8684.85;344.02;30.72;336.38;-33.98;32.81;-44.83;;;;;0;46.650122;6.98;-32.4
1314;8690.14;343.97;30.8;336.13;-34.01;33.29;-44.72;;;;;0;46.649858;6.980083;-32.49
1315;8695.73;343.93;30.87;335.86;-34.02;33.77;-44.6;;;;;0;46.6496;6.98017;-32.59
1316;8701.11;343.9;30.94;335.6;-34.04;34.23;-44.49;;;;;0;46.64934;6.980265;-32.62
1317;8705.4;343.88;31.0;335.4;-34.05;34.7;-44.37;;;;;0;46.64908;6.980368;-32.64
1318;8709.79;343.86;31.06;335.19;-34.3;35.16;-44.39;;;;;0;46.648815;6.980483;-32.7
1319;8714.78;343.84;31.11;334.95;-34.36;35.61;-44.41;;;;;0;46.648542;6.980613;-32.77
1320;8721.66;343.82;31.14;334.62;-34.41;36.04;-44.35;;;;;0;46.64826;6.980753;-32.83
1321;8729.24;343.82;31.17;334.25;-34.47;36.48;-44.29;;;;;0;46.647973;6.98089;-32.9
1322;8737.22;343.81;31.19;333.87;-34.52;36.91;-44.23;;;;;0;46.647687;6.981022;-32.96
1323;8744.9;343.81;31.21;333.51;-34.5;37.35;-44.1;;;;;0;46.647397;6.981152;-33.02
1324;8751.38;343.82;31.22;333.2;-34.49;37.78;-44.0;;;;;0;46.647113;6.98127;-33.04
1325;8757.16;343.84;31.22;332.92;-34.51;38.22;-43.9;;;;;0;46.646833;6.981383;-33.05
1326;8762.55;343.86;31.23;332.66;-34.54;38.68;-43.81;;;;;0;46.646563;6.981488;-33.06
1327;8768.04;343.9;31.24;332.4;-34.57;39.13;-43.73;;;;;0;46.646303;6.98159;-33.07
1328;8773.82;343.94;31.25;332.13;-34.74;39.62;-43.69;;;;;0;46.646052;6.981692;-33.12
1329;8780.8;344.0;31.26;331.8;-34.73;40.1;-43.65;;;;;0;46.645802;6.981798;-33.17
1330;8788.28;344.06;31.29;331.44;-34.72;40.6;-43.52;;;;;0;46.645553;6.981912;-33.24
1331;8795.76;344.13;31.32;331.09;-34.71;41.1;-43.4;;;;;0;46.645298;6.982032;-33.31
1332;8802.34;344.21;31.35;330.77;-34.78;41.62;-43.34;;;;;0;46.645037;6.982155;-33.4
1333;8808.43;344.29;31.4;330.48;-34.84;42.13;-43.29;;;;;0;46.644768;6.98227;-33.49
1334;8814.71;344.37;31.45;330.19;-34.98;42.64;-43.26;;;;;0;46.644495;6.982378;-33.55
1335;8821.09;344.45;31.5;329.89;-35.02;43.15;-43.23;;;;;0;46.644222;6.982485;-33.62
1336;8828.38;344.53;31.55;329.54;-35.05;43.61;-43.16;;;;;0;46.643948;6.982585;-33.64
1337;8835.16;344.61;31.59;329.22;-35.08;44.08;-43.09;;;;;0;46.643677;6.982687;-33.67
1338;8840.94;344.68;31.64;328.95;-35.11;44.49;-43.03;;;;;0;46.643402;6.982798;-33.65
1339;8846.03;344.74;31.67;328.71;-35.14;44.89;-42.97;;;;;0;46.643122;6.982917;-33.64
1340;8850.82;344.79;31.7;328.48;-35.24;45.21;-42.98;;;;;0;46.642838;6.983038;-33.68
1341;8855.7;344.83;31.72;328.25;-35.32;45.53;-43.0;;;;;0;46.642545;6.983158;-33.72
1342;8860.49;344.86;31.72;328.03;-35.39;45.74;-43.0;;;;;0;46.642248;6.983272;-33.76
1343;8866.27;344.88;31.72;327.75;-35.42;45.96;-43.0;;;;;0;46.641948;6.983383;-33.81
1344;8872.06;344.88;31.71;327.48;-35.44;46.07;-43.03;;;;;0;46.641655;6.983482;-33.9
1345;8879.04;344.87;31.69;327.15;-35.52;46.17;-43.05;;;;;0;46.641368;6.983572;-33.99
1346;8885.92;344.84;31.66;326.83;-35.59;46.19;-43.09;;;;;0;46.641093;6.983657;-34.07
1347;8891.41;344.81;31.63;326.57;-35.61;46.2;-43.13;;;;;0;46.640827;6.983745;-34.14
1348;8896.49;344.76;31.6;326.33;-35.62;46.14;-43.2;;;;;0;46.640567;6.983842;-34.16
